puzzle_id,prompt_style,book_move,generated_move,topprob_move,recoverability_predicted_move,explanation_matches_generated,explanation_matches_topprob,explanation_matches_book,generated_matches_topprob,generated_matches_book,topprob_matches_book
mxx8B,brief,f4g4,f4f3,f4e4,,False,False,False,False,False,False
PegvE,brief,f5e4,f5f6,f5e4,a6a7,False,False,False,False,False,True
6UxiQ,brief,b3a2,a1c3,b3a2,a1c3,True,False,False,False,False,True
P3y0d,brief,g5g4,d4d3,d4d3,b4b3,False,False,False,True,False,False
rcpNA,brief,f3f4,b1a3,b1c3,b1c3,False,True,False,False,False,False
ZezjX,brief,a1g1,a1a2,g3g4,g3g4,False,True,False,False,False,False
c87ma,brief,c8c3,c8c3,c8d8,c8c4,False,False,False,False,True,False
sHnnl,brief,d3e3,d4d5,d4d5,b6b7,False,False,False,True,False,False
H3SAv,brief,f4f5,c7c8q,f4f5,c7c8q,True,False,False,False,False,True
jBbUz,brief,g3g4,f4f5,b1c2,f4f5,True,False,False,False,False,False
KJ6xQ,brief,e4e5,e4e5,d4d5,e4e5,True,False,True,False,True,False
nLvyu,brief,c4d5,e2c4,e2f3,e2d3,False,False,False,False,False,False
eJT8K,brief,f3g4,b6b5,f3e4,b5b4,False,False,False,False,False,False
vXngG,brief,a5a4,a5a4,e6e7,a5a4,True,False,True,False,True,False
gvA77,brief,f7f4,f6f3,f7f8,c2c1,False,False,False,False,False,False
Dm5hy,brief,d3c3,d3d4,d3c3,d4d5,False,False,False,False,False,True
4VyFC,brief,c1c8,c1c8,c1c8,f5f6,False,False,False,True,True,True
yGzHN,brief,e2c3,c4c5,e2d4,e2d4,False,True,False,False,False,False
rKgYv,brief,h5g4,h5h6,b4b5,e5e6,False,False,False,False,False,False
8bo4k,brief,b8e8,f7f1,b8e8,g6g2,False,False,False,False,False,True
hQF8r,brief,g6h5,c6e6,h7g8,c6c7,False,False,False,False,False,False
sV2a4,brief,c4c3,c4c5,c4c5,b7b8q,False,False,False,True,False,False
NHJ7m,brief,f8c8,c2c1,f8d8,c2c1q,False,False,False,False,False,False
tXSzK,brief,g2g3,f5g7,g2g3,f7f8q,False,False,False,False,False,True
XWMn8,brief,f1b5,,e3d4,,False,False,False,False,False,False
E5n3V,brief,d3c2,d3d4,d3d4,c3d4,False,False,False,True,False,False
Pt8Wh,brief,c5c1,g6g7,h2h4,a2a4,False,False,False,False,False,False
tlhqi,brief,d5c4,f1f3,d5c5,f1d1,False,False,False,False,False,False
EZ8V0,brief,a6b5,a2a3,e3e4,a4a5,False,False,False,False,False,False
9tJ4L,brief,e5f4,f7f4,e5d5,f7f4,True,False,False,False,False,False
977KP,brief,d4d3,d4d5,d1d3,d5d6,False,False,False,False,False,False
GBlM4,brief,e8e6,e8e6,e8g8,e8f7,False,False,False,False,True,False
MZpEw,brief,b5c6,b5b1,c8d8,,False,False,False,False,False,False
MndOq,brief,b4a4,a3b1,b4b5,a2a1q,False,False,False,False,False,False
5TtQ6,brief,c3e2,d4c4,d4c4,d4c3,False,False,False,True,False,False
cV9av,brief,b6b5,g4g5,c6c5,g4g5,True,False,False,False,False,False
Jiupk,brief,d4d3,f3f2,d4d3,h5h4,False,False,False,False,False,True
HNkVI,brief,f8e6,f8g6,f8d7,f7d6,False,False,False,False,False,False
ujuMU,brief,e6h3,e4d3,e6d5,d5c4,False,False,False,False,False,False
hH9UZ,brief,e2e3,e2e8,e2e3,e2e8,True,False,False,False,False,True
OeJ01,brief,c2c3,c2c3,c2c3,c3c4,False,False,False,True,True,True
ZLmLu,brief,g4d7,d8d7,d8d7,g4g5,False,False,False,True,False,False
c6EK4,brief,c1a1,c1c8,c1a1,c1c8,True,False,False,False,False,True
v3BkQ,brief,d4d5,c3b3,h2h4,b5a4,False,False,False,False,False,False
M3sHr,brief,d5d3,d5d6,d5e5,d5d7,False,False,False,False,False,False
NBRpY,brief,d5e4,,e1f1,,False,False,False,False,False,False
khTtu,brief,c4a3,c5c6,c4a5,c5d7,False,False,False,False,False,False
ypK1p,brief,a8a1,d4d1,g7g6,d4d1,True,False,False,False,False,False
7F1Ki,brief,e8e7,e8e1,e8e7,,False,False,False,False,False,True
RgCGm,brief,g5g6,g5g6,f3e2,g6g7,False,False,False,False,True,False
7MVnh,brief,c1c3,b2b3,c1c5,b2b3,True,False,False,False,False,False
yjsCd,brief,h3g3,g4g3,h3g3,g5g6,False,False,False,False,False,True
1Sv76,brief,f6f8,c5c4,f6f8,a5a4,False,False,False,False,False,True
2Igqe,brief,a5b4,d5d4,d5d4,d5d4,True,True,False,True,False,False
HYCOc,brief,c5c4,d5d4,g7g6,d5d4,True,False,False,False,False,False
pgjec,brief,g7g6,f6f5,g7g6,b7b5,False,False,False,False,False,True
6AH2V,brief,a1e1,e3e8,f2f3,e3e8,True,False,False,False,False,False
5X5ot,brief,a6b6,a6a7,a6b6,a5a6,False,False,False,False,False,True
oX4Em,brief,f3g3,h6h7,f3e2,h6h7,True,False,False,False,False,False
Nejpc,brief,a8g2,a1a4,a8e8,b1b5,False,False,False,False,False,False
UXgoT,brief,g6f6,f3g2,h8g8,h1h2,False,False,False,False,False,False
2kArn,brief,f2f3,b4b5,f2f3,a1a3,False,False,False,False,False,True
Vyltw,brief,e6f5,b4b1,e6e5,a2a1q,False,False,False,False,False,False
OtykF,brief,h6f6,h3h4,h6d6,h4h3,False,False,False,False,False,False
ijBPV,brief,d7a4,d7d8,d7d8,d7d8q,False,False,False,True,False,False
oxfFI,brief,g4g5,b7b8,b8c8,b7b8q,False,False,False,False,False,False
simc6,brief,c3d2,g7f6,c3d2,g7e5,False,False,False,False,False,True
oAcTW,brief,f6f7,f4f7,f6d6,f6e6,False,False,False,False,False,False
bXQ4S,brief,e5e6,f4f5,e5e6,e5e6,False,True,True,False,False,True
3C91k,brief,a2a4,a2a1q,a2a4,a2a1q,True,False,False,False,False,True
Zu7xw,brief,f4f3,a2a1q,a2a4,a1a2,False,False,False,False,False,False
SNOtd,brief,f3e4,e5c3,e7e8,e5e4,False,False,False,False,False,False
ZZfl0,brief,f2g2,f2f1,g7g5,g7g1q,False,False,False,False,False,False
FwgrC,brief,b4b3,c4c3,c4d4,c4c3,True,False,False,False,False,False
cFyan,brief,c2c5,c2c3,c2c5,c2c3,True,False,False,False,False,True
WkWg7,brief,c7f7,a5a6,c7c8,b5b6,False,False,False,False,False,False
PeP5L,brief,e8d7,a5a4,e8f8,d5d4,False,False,False,False,False,False
2Cl3z,brief,c5c4,d5d4,c7c6,d4d3,False,False,False,False,False,False
ONtMr,brief,d4f6,d4c4,g7g6,d4a1,False,False,False,False,False,False
PB5dV,brief,h6g6,h7h8q,h6h5,e5e6q,False,False,False,False,False,False
6Gpig,brief,c4c5,d4d5,d4d5,d5d6,False,False,False,True,False,False
Ap4wd,brief,a3e3,a3a1,e8d8,a2a1,False,False,False,False,False,False
OHptG,brief,g3g2,g1g5,c6d6,g1g5,True,False,False,False,False,False
xQd1m,brief,c4c5,b6c6,c4c5,b6b7,False,False,False,False,False,True
3JB7j,brief,d2d1q,c1b2,c1b1,c1d2,False,False,False,False,False,False
UfPl5,brief,f3f4,e3e4,e3e4,e4e5,False,False,False,True,False,False
FaVQH,brief,c6c5,g5g6,c6c5,g5g6,True,False,False,False,False,True
MAncS,brief,f2f5,d4d6,d4e5,d6d7,False,False,False,False,False,False
6b1AF,brief,e3e2,b4b3,e3e4,b3b2,False,False,False,False,False,False
ziJzK,brief,d8d5,d4d2,g8h8,d4d1,False,False,False,False,False,False
